Time,X-Acceleration,Y-Acceleration,Z-Acceleration,X-Velocity,Y-Velocity,Z-Velocity,Composite-Acceleration,Composite-Velocity,Temperature Z,Temperature-XYZ
00:00.0,13.7578125,15.9296875,13.7890625,1.857421875,1.59765625,1.565429688,18.828125,2.90625,30.6875,30.6875
00:00.0,14.8359375,14.015625,14.3984375,1.834960938,1.4140625,1.69140625,15.8046875,2.869140625,30.625,30.625
00:00.0,17.953125,16.75,11.5703125,1.442382813,1.38671875,1.544921875,18.703125,2.52734375,30.6875,30.6875
00:00.0,12.1796875,15.765625,12.3671875,1.518554688,1.35546875,1.590820313,17.96875,2.583984375,29.875,29.875
00:00.0,15.734375,19.0625,9.6640625,1.375976563,1.329101563,1.5,20.421875,2.4296875,28.75,28.75
00:00.0,10.1796875,13.0234375,8.03125,1.603515625,1.271484375,1.25,14.078125,2.3984375,27.5,27.5
00:00.0,17,21.015625,11.4765625,2.087890625,1.90625,2.26171875,21.453125,3.62109375,25.8125,25.8125
00:00.0,14.515625,16.71875,11.5859375,1.701171875,1.491210938,1.771484375,18.5625,2.873046875,26.125,26.125
00:00.0,16.234375,15.890625,10.9296875,1.768554688,1.73046875,1.717773438,19.21875,3.01171875,23.5625,23.5625
00:00.0,12.9140625,14.1640625,10.125,1.627929688,1.5859375,1.540039063,15.8828125,2.74609375,25.875,25.875
00:00.0,13.40625,16.375,10.4296875,3.80859375,4.01171875,2.244140625,18.21875,5.96875,25.3125,25.3125
00:00.0,13.703125,18.53125,10.765625,1.942382813,2.8203125,2.2109375,18.96875,4.07421875,25.5625,25.5625
00:00.0,18.09375,18.75,11.0546875,1.764648438,2.1875,2.01953125,20.3125,3.4609375,25.3125,25.3125
00:00.0,12.1796875,15.3828125,10.59375,2.267578125,2.4453125,2.255859375,17.390625,4.02734375,25.5625,25.5625
00:00.0,14.6875,15.359375,10.875,2.33203125,2.099609375,2.75390625,16.796875,4.17578125,25,25
00:00.0,11.03125,17.625,8.9609375,3.419921875,2.53125,2.00390625,18.890625,4.703125,24.875,24.875
